# 행정동 표준 코드 매핑 (서울특별시 25구 전체)
# 출처: jumin.mois.go.kr/statMonth.do (10자리 코드 → 8자리 sbiz 변환)
# Phase 1 Week 2 Day 2 — 서울 자동 생성 (다른 시도는 추후 확장)
시도코드,시군구코드,adong_jumin_10,adong_sbiz_8,시도,시군구,행정동
11,11470,1147052000,11470520,서울특별시,양천구,목2동
11,11470,1147053000,11470530,서울특별시,양천구,목3동
11,11470,1147054000,11470540,서울특별시,양천구,목4동
11,11470,1147055000,11470550,서울특별시,양천구,목5동
11,11470,1147056000,11470560,서울특별시,양천구,신월1동
11,11470,1147057000,11470570,서울특별시,양천구,신월2동
11,11470,1147058000,11470580,서울특별시,양천구,신월3동
11,11470,1147059000,11470590,서울특별시,양천구,신월4동
11,11470,1147060000,11470600,서울특별시,양천구,신월5동
11,11470,1147061000,11470610,서울특별시,양천구,신월6동
11,11470,1147061100,11470611,서울특별시,양천구,신월7동
11,11470,1147062000,11470620,서울특별시,양천구,신정1동
11,11470,1147063000,11470630,서울특별시,양천구,신정2동
11,11470,1147064000,11470640,서울특별시,양천구,신정3동
11,11470,1147065000,11470650,서울특별시,양천구,신정4동
11,11470,1147067000,11470670,서울특별시,양천구,신정6동
11,11470,1147068000,11470680,서울특별시,양천구,신정7동
11,11500,1150051000,11500510,서울특별시,강서구,염창동
11,11500,1150052000,11500520,서울특별시,강서구,등촌제1동
11,11500,1150053000,11500530,서울특별시,강서구,등촌제2동
11,11500,1150053500,11500535,서울특별시,강서구,등촌제3동
11,11500,1150054000,11500540,서울특별시,강서구,화곡제1동
11,11500,1150055000,11500550,서울특별시,강서구,화곡제2동
11,11500,1150056000,11500560,서울특별시,강서구,화곡제3동
11,11500,1150057000,11500570,서울특별시,강서구,화곡제4동
11,11500,1150059000,11500590,서울특별시,강서구,화곡본동
11,11500,1150059100,11500591,서울특별시,강서구,화곡제6동
11,11500,1150059300,11500593,서울특별시,강서구,화곡제8동
11,11500,1150060300,11500603,서울특별시,강서구,가양제1동
11,11500,1150060400,11500604,서울특별시,강서구,가양제2동
11,11500,1150060500,11500605,서울특별시,강서구,가양제3동
11,11500,1150061100,11500611,서울특별시,강서구,발산제1동
11,11500,1150061500,11500615,서울특별시,강서구,우장산동
11,11500,1150062000,11500620,서울특별시,강서구,공항동
11,11500,1150063000,11500630,서울특별시,강서구,방화제1동
11,11500,1150064000,11500640,서울특별시,강서구,방화제2동
11,11500,1150064100,11500641,서울특별시,강서구,방화제3동
11,11530,1153051000,11530510,서울특별시,구로구,신도림동
11,11530,1153052000,11530520,서울특별시,구로구,구로제1동
11,11530,1153053000,11530530,서울특별시,구로구,구로제2동
11,11530,1153054000,11530540,서울특별시,구로구,구로제3동
11,11530,1153055000,11530550,서울특별시,구로구,구로제4동
11,11530,1153056000,11530560,서울특별시,구로구,구로제5동
11,11530,1153059500,11530595,서울특별시,구로구,가리봉동
11,11530,1153072000,11530720,서울특별시,구로구,고척제1동
11,11530,1153073000,11530730,서울특별시,구로구,고척제2동
11,11530,1153074000,11530740,서울특별시,구로구,개봉제1동
11,11530,1153075000,11530750,서울특별시,구로구,개봉제2동
11,11530,1153076000,11530760,서울특별시,구로구,개봉제3동
11,11530,1153077000,11530770,서울특별시,구로구,오류제1동
11,11530,1153078000,11530780,서울특별시,구로구,오류제2동
11,11530,1153079000,11530790,서울특별시,구로구,수궁동
11,11530,1153080000,11530800,서울특별시,구로구,항동
11,11545,1154551000,11545510,서울특별시,금천구,가산동
11,11545,1154561000,11545610,서울특별시,금천구,독산제1동
11,11545,1154562000,11545620,서울특별시,금천구,독산제2동
11,11545,1154563000,11545630,서울특별시,금천구,독산제3동
11,11545,1154564000,11545640,서울특별시,금천구,독산제4동
11,11545,1154567000,11545670,서울특별시,금천구,시흥제1동
11,11545,1154568000,11545680,서울특별시,금천구,시흥제2동
11,11545,1154569000,11545690,서울특별시,금천구,시흥제3동
11,11545,1154570000,11545700,서울특별시,금천구,시흥제4동
11,11545,1154571000,11545710,서울특별시,금천구,시흥제5동
11,11560,1156051500,11560515,서울특별시,영등포구,영등포본동
11,11560,1156053500,11560535,서울특별시,영등포구,영등포동
11,11560,1156054000,11560540,서울특별시,영등포구,여의동
11,11560,1156055000,11560550,서울특별시,영등포구,당산제1동
11,11560,1156056000,11560560,서울특별시,영등포구,당산제2동
11,11560,1156058500,11560585,서울특별시,영등포구,도림동
11,11560,1156060500,11560605,서울특별시,영등포구,문래동
11,11560,1156061000,11560610,서울특별시,영등포구,양평제1동
11,11560,1156062000,11560620,서울특별시,영등포구,양평제2동
11,11560,1156063000,11560630,서울특별시,영등포구,신길제1동
11,11560,1156065000,11560650,서울특별시,영등포구,신길제3동
11,11560,1156066000,11560660,서울특별시,영등포구,신길제4동
11,11560,1156067000,11560670,서울특별시,영등포구,신길제5동
11,11560,1156068000,11560680,서울특별시,영등포구,신길제6동
11,11560,1156069000,11560690,서울특별시,영등포구,신길제7동
11,11560,1156070000,11560700,서울특별시,영등포구,대림제1동
11,11560,1156071000,11560710,서울특별시,영등포구,대림제2동
11,11560,1156072000,11560720,서울특별시,영등포구,대림제3동
11,11590,1159051000,11590510,서울특별시,동작구,노량진제1동
11,11590,1159052000,11590520,서울특별시,동작구,노량진제2동
11,11590,1159053000,11590530,서울특별시,동작구,상도제1동
11,11590,1159054000,11590540,서울특별시,동작구,상도제2동
11,11590,1159055000,11590550,서울특별시,동작구,상도제3동
11,11590,1159056000,11590560,서울특별시,동작구,상도제4동
11,11590,1159060500,11590605,서울특별시,동작구,흑석동
11,11590,1159062000,11590620,서울특별시,동작구,사당제1동
11,11590,1159063000,11590630,서울특별시,동작구,사당제2동
11,11590,1159064000,11590640,서울특별시,동작구,사당제3동
11,11590,1159065000,11590650,서울특별시,동작구,사당제4동
11,11590,1159065100,11590651,서울특별시,동작구,사당제5동
11,11590,1159066000,11590660,서울특별시,동작구,대방동
11,11590,1159067000,11590670,서울특별시,동작구,신대방제1동
11,11590,1159068000,11590680,서울특별시,동작구,신대방제2동
11,11620,1162052500,11620525,서울특별시,관악구,보라매동
11,11620,1162054500,11620545,서울특별시,관악구,청림동
11,11620,1162056500,11620565,서울특별시,관악구,성현동
11,11620,1162057500,11620575,서울특별시,관악구,행운동
11,11620,1162058500,11620585,서울특별시,관악구,낙성대동
11,11620,1162059500,11620595,서울특별시,관악구,청룡동
11,11620,1162060500,11620605,서울특별시,관악구,은천동
11,11620,1162061500,11620615,서울특별시,관악구,중앙동
11,11620,1162062500,11620625,서울특별시,관악구,인헌동
11,11620,1162063000,11620630,서울특별시,관악구,남현동
11,11620,1162064500,11620645,서울특별시,관악구,서원동
11,11620,1162065500,11620655,서울특별시,관악구,신원동
11,11620,1162066500,11620665,서울특별시,관악구,서림동
11,11620,1162068500,11620685,서울특별시,관악구,신사동
11,11620,1162069500,11620695,서울특별시,관악구,신림동
11,11620,1162071500,11620715,서울특별시,관악구,난향동
11,11620,1162072500,11620725,서울특별시,관악구,조원동
11,11620,1162073500,11620735,서울특별시,관악구,대학동
11,11620,1162074500,11620745,서울특별시,관악구,삼성동
11,11620,1162076500,11620765,서울특별시,관악구,미성동
11,11620,1162077500,11620775,서울특별시,관악구,난곡동
11,11650,1165051000,11650510,서울특별시,서초구,서초1동
11,11650,1165052000,11650520,서울특별시,서초구,서초2동
11,11650,1165053000,11650530,서울특별시,서초구,서초3동
11,11650,1165053100,11650531,서울특별시,서초구,서초4동
11,11650,1165054000,11650540,서울특별시,서초구,잠원동
11,11650,1165055000,11650550,서울특별시,서초구,반포본동
11,11650,1165056000,11650560,서울특별시,서초구,반포1동
11,11650,1165057000,11650570,서울특별시,서초구,반포2동
11,11650,1165058000,11650580,서울특별시,서초구,반포3동
11,11650,1165058100,11650581,서울특별시,서초구,반포4동
11,11650,1165059000,11650590,서울특별시,서초구,방배본동
11,11650,1165060000,11650600,서울특별시,서초구,방배1동
11,11650,1165061000,11650610,서울특별시,서초구,방배2동
11,11650,1165062000,11650620,서울특별시,서초구,방배3동
11,11650,1165062100,11650621,서울특별시,서초구,방배4동
11,11650,1165065100,11650651,서울특별시,서초구,양재1동
11,11650,1165065200,11650652,서울특별시,서초구,양재2동
11,11650,1165066000,11650660,서울특별시,서초구,내곡동
11,11680,1168051000,11680510,서울특별시,강남구,신사동
11,11680,1168052100,11680521,서울특별시,강남구,논현1동
11,11680,1168053100,11680531,서울특별시,강남구,논현2동
11,11680,1168054500,11680545,서울특별시,강남구,압구정동
11,11680,1168056500,11680565,서울특별시,강남구,청담동
11,11680,1168058000,11680580,서울특별시,강남구,삼성1동
11,11680,1168059000,11680590,서울특별시,강남구,삼성2동
11,11680,1168060000,11680600,서울특별시,강남구,대치1동
11,11680,1168061000,11680610,서울특별시,강남구,대치2동
11,11680,1168063000,11680630,서울특별시,강남구,대치4동
11,11680,1168064000,11680640,서울특별시,강남구,역삼1동
11,11680,1168065000,11680650,서울특별시,강남구,역삼2동
11,11680,1168065500,11680655,서울특별시,강남구,도곡1동
11,11680,1168065600,11680656,서울특별시,강남구,도곡2동
11,11680,1168066000,11680660,서울특별시,강남구,개포1동
11,11680,1168067000,11680670,서울특별시,강남구,개포2동
11,11680,1168067500,11680675,서울특별시,강남구,개포3동
11,11680,1168069000,11680690,서울특별시,강남구,개포4동
11,11680,1168070000,11680700,서울특별시,강남구,세곡동
11,11680,1168072000,11680720,서울특별시,강남구,일원본동
11,11680,1168073000,11680730,서울특별시,강남구,일원1동
11,11680,1168075000,11680750,서울특별시,강남구,수서동
11,11710,1171051000,11710510,서울특별시,송파구,풍납1동
11,11710,1171052000,11710520,서울특별시,송파구,풍납2동
11,11710,1171053100,11710531,서울특별시,송파구,거여1동
11,11710,1171053200,11710532,서울특별시,송파구,거여2동
11,11710,1171054000,11710540,서울특별시,송파구,마천1동
11,11710,1171055000,11710550,서울특별시,송파구,마천2동
11,11710,1171056100,11710561,서울특별시,송파구,방이1동
11,11710,1171056200,11710562,서울특별시,송파구,방이2동
11,11710,1171056600,11710566,서울특별시,송파구,오륜동
11,11710,1171057000,11710570,서울특별시,송파구,오금동
11,11710,1171058000,11710580,서울특별시,송파구,송파1동
11,11710,1171059000,11710590,서울특별시,송파구,송파2동
11,11710,1171060000,11710600,서울특별시,송파구,석촌동
11,11710,1171061000,11710610,서울특별시,송파구,삼전동
11,11710,1171062000,11710620,서울특별시,송파구,가락본동
11,11710,1171063100,11710631,서울특별시,송파구,가락1동
11,11710,1171063200,11710632,서울특별시,송파구,가락2동
11,11710,1171064100,11710641,서울특별시,송파구,문정1동
11,11710,1171064200,11710642,서울특별시,송파구,문정2동
11,11710,1171064600,11710646,서울특별시,송파구,장지동
11,11710,1171064700,11710647,서울특별시,송파구,위례동
11,11710,1171065000,11710650,서울특별시,송파구,잠실본동
11,11710,1171067000,11710670,서울특별시,송파구,잠실2동
11,11710,1171068000,11710680,서울특별시,송파구,잠실3동
11,11710,1171069000,11710690,서울특별시,송파구,잠실4동
11,11710,1171071000,11710710,서울특별시,송파구,잠실6동
11,11710,1171072000,11710720,서울특별시,송파구,잠실7동
11,11740,1174051500,11740515,서울특별시,강동구,강일동
11,11740,1174052500,11740525,서울특별시,강동구,상일제1동
11,11740,1174052600,11740526,서울특별시,강동구,상일제2동
11,11740,1174053000,11740530,서울특별시,강동구,명일제1동
11,11740,1174054000,11740540,서울특별시,강동구,명일제2동
11,11740,1174055000,11740550,서울특별시,강동구,고덕제1동
11,11740,1174056000,11740560,서울특별시,강동구,고덕제2동
11,11740,1174057000,11740570,서울특별시,강동구,암사제1동
11,11740,1174058000,11740580,서울특별시,강동구,암사제2동
11,11740,1174059000,11740590,서울특별시,강동구,암사제3동
11,11740,1174060000,11740600,서울특별시,강동구,천호제1동
11,11740,1174061000,11740610,서울특별시,강동구,천호제2동
11,11740,1174062000,11740620,서울특별시,강동구,천호제3동
11,11740,1174064000,11740640,서울특별시,강동구,성내제1동
11,11740,1174065000,11740650,서울특별시,강동구,성내제2동
11,11740,1174066000,11740660,서울특별시,강동구,성내제3동
11,11740,1174068500,11740685,서울특별시,강동구,길동
11,11740,1174069000,11740690,서울특별시,강동구,둔촌제1동
11,11740,1174070000,11740700,서울특별시,강동구,둔촌제2동
